,title,company,location,posted_date,skills
0,BI Developer,LinkedIn,"Sunnyvale, CA",1 week ago,['Data Analysis']
1,"Data Analyst, Research and Strategy",Lantern,United States,2 weeks ago,['Data Analysis']
2,Power BI Developer,Veracity Software Inc,"Iselin, NJ",3 months ago,"['Power BI', 'R']"
3,Data Analyst,The Value Maximizer,"Austin, TX",1 week ago,['Data Analysis']
4,Data Analyst - Remote,Guidehealth,"Chicago, IL",1 month ago,['Data Analysis']
5,"Analyst, Demand Generation Performance",Freshworks,"San Mateo, CA",3 days ago,['Data Analysis']
6,Data Visualization / PowerBI Expert,Gap International,"Springfield, PA",3 days ago,"['Power BI', 'Data Visualization']"
7,Data Analyst,The Value Maximizer,"New Jersey, United States",1 week ago,['Data Analysis']
8,PowerBI Developer,JCW Group,United States,1 week ago,['Power BI']
9,Data Analyst,Go Offer,United States,2 weeks ago,['Data Analysis']
10,Business Analyst - SMB Americas,TikTok,"Austin, TX",2 weeks ago,['Data Analysis']
11,Business Intelligence Analyst,Paramount+,"New York, NY",3 days ago,['Data Analysis']
12,BI Reporting Analyst I,Kforce Inc,"Mountain View, CA",1 week ago,['Data Analysis']
13,Data Analyst,Northern Bank,"Woburn, MA",1 week ago,['Data Analysis']
14,Power BI/Data Analyst,Lateral Group,United States,3 weeks ago,"['Power BI', 'R']"
15,Jr. BI Analyst,Zimmerman Advertising,Miami-Fort Lauderdale Area,3 weeks ago,['Data Analysis']
